PubId,PubName,PubGroupId,PubGroupName
3019,whitepages msn mort ad,528,Whitepages Banners
3142,worldnow edu,529,Winstar Banners
2864,worldnow mort ad,529,Winstar Banners
3161,yahoo address nonfusion ad,84,Yahoo Banners
2832,yahoo astro nonfusion,84,Yahoo Banners
2602,yahoo chat real ad,84,Yahoo Banners
2687,yahoo fin news nonfusion ad,84,Yahoo Banners
2591,yahoo games mort ad,84,Yahoo Banners
2600,yahoo hotjobs real ad,84,Yahoo Banners
2604,yahoo loan text,84,Yahoo Banners
2757,yahoo mail mort he ad,84,Yahoo Banners
2652,yahoo mail nonfusion mort ad,84,Yahoo Banners
2664,yahoo mail text,84,Yahoo Banners
2436,yahoo mark text1 mort,84,Yahoo Banners
2594,yahoo my real ad,84,Yahoo Banners
3016,yahoo my text ad,84,Yahoo Banners
2527,yahoo newspol mort,84,Yahoo Banners
2595,yahoo newspol real ad,84,Yahoo Banners
3187,yahoo ron2 nonfusion he,84,Yahoo Banners
3007,yahoo ron2 nonfusion mort ad,84,Yahoo Banners
2791,yahoo ros mort ad,84,Yahoo Banners
2792,yahoo ros real ad,84,Yahoo Banners
3162,yahoo sports nonfusion ad,84,Yahoo Banners
2233,yahoo weather,84,Yahoo Banners
3337,ggsi it uk test2,132,Google UK
3341,ggsi it uk test3,132,Google UK
3342,ggsi it uk test4,132,Google UK
3343,ggsi it uk test5,132,Google UK
3345,ggsi it uk test7,132,Google UK
3300,ggs hotel test1,6,Google US
3304,ggs hotel test5,6,Google US
3349,ggs hotel test8,6,Google US
28,fast,4,Fast
104,ggp2,6,Google US
108,AJ Premier,363,others
224,yahoo east,363,others
344,av isu,363,others
424,altavista2,3,Altavista
544,ajros tower,363,others
567,inkservices,7,Inktomi US
585,ggsbroadband,6,Google US
591,ggsautoinsurance,6,Google US
600,fw bband,5,Findwhat
607,ink tele,7,Inktomi US
624,lsibmv,8,Looksmart
664,fw mag,5,Findwhat
691,ggsbaby,6,Google US
747,ggp phrase,6,Google US
792,ggp noneg,6,Google US
904,lyc debtr,9,247 Real Media Banners
926,lsiautoins,8,Looksmart
1292,inktoys,7,Inktomi US
50163,arrayal,390,Affiliates
50224,alvincheong,390,Affiliates
50263,Magnus3,390,Affiliates
50281,sito99,390,Affiliates
50301,JoeQuan,390,Affiliates
50322,resource,390,Affiliates
50325,wide,390,Affiliates
50023,robcarlo,390,Affiliates
209,fortunecityXML,363,others
1201,carstereo,363,others
1203,lsiwireless,8,Looksmart
50082,valera,390,Affiliates
1229,fast webhost,4,Fast
1232,fast cars,4,Fast
1266,avbaby,3,Altavista
1274,lsibaby,8,Looksmart
50344,Modina,390,Affiliates
50345,savenow,390,Affiliates
1486,ggs used car,6,Google US
50348,webbloom,390,Affiliates
50349,bfrank2748,390,Affiliates
50361,dumpsterdeals,390,Affiliates
1505,aj pi cars,11,AJPI
1525,ink carparts,7,Inktomi US
50421,MarilynH,390,Affiliates
50441,movieman9,390,Affiliates
50461,user210490,390,Affiliates
